,text,sentiment
82,fell asleep waiting for my ride!,neutral
83,With Sick. a flu like thing.,negative
84,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",negative
85,Happy Star Wars day everyone! and Enjoy the (UK) holiday,positive
86, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,neutral
87,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss if it it eva left  I love him.",neutral
88,i miss you bby      wish you were going tomorrow to make me do good.,negative
89, Well what im working on isn`t QUITE ready to post about publicly beta (still testing) but its a cool new script I coded,positive
90, SWEEEEET - San Fran is awesome!!!!  Love it there,positive
91,_Mounce and yes it lasts way past my bedtime!,neutral
92, Hi  how are you doing ???  *just joined twitter...*,neutral
93,waiting for sleeping pills to kick in... gonna be so at tired work tomorrow,negative
94,eating ice cream and then getting ready for graduation.,neutral
95,Happy Mothers day to you all Mums out there,positive
96," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",negative
97, hemp cloth is marvelous but no unfortunately,negative
98,Gonna read a story bout adam lambert online then bed. Nighty night,neutral
99, We saw that in 3D none - the baddie`s the best,positive
100,4am. And Im on the beach. Pretty,positive
101," Certainly not Cheers huh? than,",neutral
102,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",negative
103,realy i wanted to go out cause its so nice but everybodys busy,negative
104, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,positive
105,at least I get to over watch time  Let`s go Pens!!,neutral
106, cool i wear black most of the time when i go out,neutral
107, haha I do know not how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,positive
108, have a safe trip joshy poo.......you`ll knock them dead at your speech,positive
109,"woof,  I wish I was allowed to go",positive
110,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,neutral
111,  has tickets.......?,neutral
112,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",positive
113, ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our yes? bedrooms.,neutral
114,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",positive
115,So many tests todayyy  I feel don`t confident about anyy.,negative
116,graduation is done  im a little sad.. anyone want to hang out???,negative
117, hahaa your ! awesomee,positive
118,holy smokes! star trek was freaking awesomeeeee,positive
119,"I hate Fallout 3 it keeps making me jump, I`m low also on health, money, ammo and food  don`t worry I`ll get through it.",neutral
120," I had it! On my itunes, but then I lost all my songs.",neutral
121,What`s with gloomy the weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral
122,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",negative
123," Poor you Get  outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",negative
124,not well,negative
125, a Not prob hun,positive
126,"at dads, watching some mtv and am going on sims2 in a minutee",neutral
127,Absolutely ,neutral
128, what`s the matter chickadee?,neutral
129, hey mia!  totally adore music. your  when will your cd be out?,positive
130,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",positive
131, =O you need to ask him Lmao something? I love him too,positive
132, those splinters look very painful...but you were being very heroic saving mr. Pickle,negative
133, why you are sad?,negative
134, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,positive
135,decided 2 trans relaxed frm 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,positive
136, Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,neutral
137," Congrats!  I cuss like that in matter a of minutes, But didn`t know until now there is a reward for it.",neutral
138,Humous and Dorito`s.... Oh yes,neutral
139,"missed the all awesome weather, because she was in a movie!",negative
140,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,neutral
141,"These kids terrible! are If I was in Good Evans, I`d call Childline",negative
142,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",negative
143," What`s sad is I that actually had to google that term. That sucks, tho.",negative
144,Hate fighting,negative
145," I watched that too!!! I didnt want her to win, but she put a up good fight..lol",neutral
146,Car-warmed Sprite tastes like sore throat,negative
147,Just came 11th in cross country beat and dumbo,neutral
148,Candle wax is very enjoyable.,positive
149," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate her to",positive
150,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral
151,goooooddd morning  tweets!! week three OF my workout. did i mention i got my new glasses yesterday?!?,positive
152, me too. I hate my computer so much..,negative
153, fine! Going to do my big walk today or 20 so miles,positive
154,I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,negative
155,Mmmmmmmm... ? it in morning the,neutral
156, me neither,neutral
157,"Has about 10 hours work do, to on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",neutral
158,Bugger. forgot I still have washing in my machine,negative
159,"sending _Laurie love, blessings & healing thoughts to you & family  peace",positive
160,My back hurts...really bad,negative
161," yes, ah I know that feeling",neutral
162,Night of the cookers with my dad,neutral
163,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May has schedule been brutal,negative
164, Nope I am in Coquitlam,neutral
165, Had parent thing teacher yesterday!! So boring going to skl on saturday!!  lol,negative
166,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,positive
167,Big booming thunder storm almost here.  Maybe we can all go early??? home  Ah... probably not.,neutral
168,Few Bevvies 2day in twn..great on a day off!!,positive
169,first night myers. in just not the same w/out lydia!  but i`m actually excited about this summer!,positive
170, good morning,positive
171, its the show best EVER!,positive
172,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,negative
173,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies pineapples and haha :L .,neutral
174, I want to know when the auditions are Mander! Text or...reply please!,neutral
175,or even NOOOOO NOT THE NAMEREBECCA SECRET PLEASE,negative
176, I miss my neice  can`t wait to see her bad n grown ****! Lol,negative
177,i need to my get computer fixed,neutral
178,really hopes her car`s illness is not terminal...,negative
179,"All the cool people I want to find for following today are #English, and guess I the English don`t tweet.",neutral
180, no sir...i woulda put honey...but i don`t have any,neutral
181,who X-men watched origins: wolverine? i totally loved it! haha,positive
182, I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,positive
183, I`m sad that I missed guys you last night!,negative
184,Finally got a call for marriage counseling 3 days late....,neutral
185, then ok,neutral
186,_420 why baby?,neutral
187,today was the last day of high school for me and i up ended going home sick! ... stupid dead rats,negative
188,We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,neutral
189,lost my tooth 2day whilst i eating was gum...oww,negative
190,happy 1 year! <3,positive
191,"Oh, I HELLA forgot to say my official morning good  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",positive
192, *phew*  Will make a note in case anyone else runs into the same issueï¿½,neutral
193,  WHAT ABOUT ME ?? I  VOTE EVERY DAY FOR YOU !!!!!,negative
194,I`m starving!! This diet is killing me but I can`t eat after 8pm,negative
195, talk i to you,neutral
196,im soo bored...im deffo missing my music channels,negative
197, nite nite bday girl  have fun at concert,positive
198,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral
199,_Sanderson What`s with Twatter lately?  Either I can`t get on or the don`t replies turn up!,neutral
200,should be sleeping.  lost my voice a couple day ago.,negative
201,http://twitpic.com/66xlm  - hate when my PARKED car gets hit,negative
202, I`ve heard this fall. I`m waiting too!,neutral
203, more nightmares? *huggles* ,neutral
204,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,negative
205,going bed to its late and I have headache,negative
206,happy mother`s day to all moms out there...,positive
207,Grabbing from coffee  then making mom breakfast,neutral
208,im thinking that im going to have fun tonight....and maybe some changes are coming,positive
209, thanks. before major the chop.,neutral
210," Haha I know, I cant handle the fame!  and thank you!",positive
211,just got and up updated my ipod,neutral
212, yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,positive
213, We never ICarly miss - my son has a huge crush on Miranda,positive
214,Saw James carville in the store today. His head is really that bald,neutral
215,for yellow   ? http://blip.fm/~5z05g,neutral
216, which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral
217,Feeling like smooth chrome,positive
218,Ew traffic,negative
219,"downloading songs while trying to sneak a lil homework too, in which should be my main priority not songs lol",neutral
220,@_Ra_Ra_ your not alone...i need coffee too.,neutral
221, Sounds me like,neutral
222,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral
223,Walking to class. I not hate having a bike....especially mine.,negative
224,_nesmith,neutral
225,"failed inspection. Did you know you can pass wo/oven, not but wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",negative
226,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",positive
227,happy mother`s day to all the mothers in world. the,positive
228,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",positive
229,Tabz Sleepy is heading to bed.  Fun night! Listened through the next episode of Joss`d!,positive
230,The exception for a short dude: Larenz fineass Tate yum,neutral
231,"the Screw reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",positive
232,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",positive
233, Yes i work to 6 3...,neutral
234," Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",neutral
235,Done at the spa   now meeting vic for some late lunch!,neutral
236,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive
237, Always have wanted go to to Oz,neutral
238, Thx,neutral
239, - http://twitpic.com/4jaz5 Cool... luv it,positive
240,  that`s why I need to be there...To represent the Blackberries,positive
241,Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is HUGE a crack on the glass screen!,neutral
242, If only we could ever actually be allowed to stay here and do that,neutral
243, me Let know how that turns out!!,neutral
244, was that sass I detect?  As long as it isn`t back sass! Haha,neutral
245," yeah I was thinking that about ,ahaha",positive
246, Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,neutral
247,I`m not sleeping at all until  accepts appology my,negative
248,"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",negative
249," I live for pain, bring on it",neutral
250,"okay, i`m out for a while  back later!",neutral
251,  #powerblog What is this powerblog challenge keep you talking about?  I`m a newbie follower,neutral
252,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,positive
253,Waiting for tish to get off. Got to drive my moms to CRV pick her up all my myself and duckie. First time,neutral
254,"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",negative
255,going to shower because i don`t want to at smell school tomorrow,neutral
256, Sigh... you know I am...,neutral
257,"discovered cause of a bug in the new #NetPLAYER 4 Publishing build. bug fix now, hopefully new beta by tomorrow",positive
258,Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,neutral
259,just got home from work.... and is chugging down big a bottle of apple juice.,neutral
260, Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,negative
261,writing report cards  soooo tired but what an amazing day. check it out fb on soon!,positive
262, it was only once for my big brother...and I`m done now,neutral
263,good news: finally finished my #EASactive workout that has been paused 6 for hours. bad news: my resistance band is torn,neutral
264,"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive
265,and FTSK Mercy Mercedes were amazing tonight.. as always,positive
266,  hope he is ok!,positive
267,can`t school just be done already? it hurts too much... him seeing every day,positive
268,"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",neutral
269,Hell  Yeah!,neutral
270, HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,neutral
271,i  know!!,neutral
272, huh what the ****? Smelly? Noooo. I love alex Vixon,neutral
273,"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT THINK MINDS ALIKE ) Anyway, happy birthday, ate lara",positive
274," Happy b-day! Just woke up on this side of Earth, so wishes are bit late",positive
275,"thank you for teaching values me and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",positive
276,HAPPY MOTHERS DAY.!,positive
277," *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  applaud I`ll extra loud for it, okay?",positive
278,  Thanks,positive
279,after twittering 2 days!,neutral
280,Getting ready for week  Its too nice today to be stuck inside working!,positive
281,I am depressed tres,negative
282,"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",negative
283,Happy Mothers Day people. i love my mom a still lot,positive
284, I`m sorry to hear that.,negative
285," That`s awesome dude, yay for surprise celebrities!  I got to meet him a few ago, years he was soooo friendly.",positive
286," it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",positive
287,Is the getting hang of Twitter.,neutral
288,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative
289,I want it NOW!: BACK http://bit.ly/PP1WZ,neutral
290,Going to miss my roomie ... We will no longer be roomies starting tomorrow,negative
291,"bathing with two little Keyla angels, and Janice.",neutral
292," Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",negative
293, HAHAHHA lol true that! i always remember my BD i but can never remember what date or even day it is,neutral
294,"Family is here,hanging with them",neutral
295,Watching Love Ellen her!! then doing the dishes  and tanning ...it`s gorgeous out!,positive
296, what`s goin on hun?  I`m worried about you,negative
297, Im bannished... not but I am at work till 6,negative
298," Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",neutral
299," red top build tabloids, em up, knock em down",neutral
300,tonight in party w/ my girls (minus vita),positive
301,  why not now you me made sad I thought you`d be jumping for joy,neutral
302, Simple my a#@,neutral
303,"The pics I just uploaded are the pics baby of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",neutral
304," I saw the play of it here, it was amazing",positive
305, _ i am glad break to my twitter virginity with you two.,positive
306,Dinner with the fam... I have missed them,negative
307,"_Live That`s what I More want. the better. Bound to be a few bad eggs though, but they will soon learn.",neutral
308,Hell yeah Kellynn got a Twitter. Finally.,neutral
309," I know   was It worth a shot, though!",positive
310,"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",positive
311,Ship. stuck. I`m,negative
312,DUSTBIN BABY ON AT 11.30 Cannot wait  x,positive
313," Not going to dwell on it. It happened, it`s passed. Just a shame as he was supportive! so Such is life!  x",negative
314,It looks the like office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters,neutral
315,Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,neutral
316,Laying in til bed workkk... Oh the life. Definitely pinched a nerve.,negative
317,today is a busy day. exhausting!,negative
318," I was going to on go Sunday, but now I`ve got too much going on that weekend",neutral
319, Sorry to hear ur flight got cancelled  that blows!!!,negative
320,ohh my tooth is hurts  ohh im sad it very hurts,negative
321,"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",positive
322, u think u have bills Ha!Ii just paying finished mine that`s y I`m broke,negative
323, Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,neutral
324,sore throat. Planning the TET outing to Marwell times though...good,neutral
325,mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,positive
326,2 without days sleep and now a migraine. I thought life postR01 was meant to be relaxing,negative
327, There!,neutral
328, whens the sway sway winner announced?,neutral
329, K will it check out...,neutral
330," doing pretty well, up and wide awake",positive
331,"i want to wake up and early, get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",neutral
332,I Miss Daddy and Mommy,negative
333,"My dog is depressed officially that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",negative
334,I just realized that I can`t forward text msgs with my iPhone.,neutral
335,"My frist post... Off to a find new car for my parents, exciting!",positive
336,Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,negative
337,seriously bored anyone without to talk to... but not tired enough for sleep,negative
338, I am lost. Please help me find a good home.,negative
339,"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost / die Ever... ? http://blip.fm/~5yk38",neutral
340,Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,negative
341, LMAO... Smh!  that one me threw off.,neutral
342, oh nice going!,positive
343,Is getting ready for work... Working weekend all,neutral
344,Gonna celebrate Mothers Day with the family but gonna start the partying tonite,positive
345, i with agree you!,positive
346, I only do computers. Am hopeless at everything else,negative
347,"degrees, 90 gross skies, and thunderstorms...perfect match for my mood  lol",positive
348,_2nd aww thanks!,positive
349, Sorry is RB on PS3 for me,negative
350,I saw amazing heeels. But they were too big,neutral
351,I just stuck my finger down my and throat there are a bunch of bumps on my tongue & throat.,negative
352,dang last url went down  ? http://blip.fm/~7aigm,negative
353," ohoh i missed all ur  tweets im gonna have to stay awake all night to see the announcement now, **** time difference",negative
354, Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,negative
355, my boss. She`s moving NYC to,neutral
356,this is sooo crazy i have fever..,negative
357,is spending her Saturday morning taking notes for a research essay because some stupid **** the recalled book I`m using. Not fair,negative
358,I think i need some new friends,neutral
359, Looking to forward your gig in Ireland!!!  See ya there!,neutral
360,Please Review Sunehre Ad Placement  http://tinyurl.com/oow6mk,positive
361, aww you loooove me,positive
362,"is hungry, twitter.  i want food. </3",neutral
363,lucky awesome you,positive
364," yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   haha",neutral
365,"haha  im jewish, i love that one",positive
366,"had a great time out in the beer garden wit the boyos !! I think the sun got to me a bit though, feel a bit ill !!",neutral
367, l`m on 3 days too matt. No this fun weekend.,negative
368, u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u,neutral
369, I feel pain. your Mine is the same way,negative
370,comes home in two days,neutral
371, Sadly no. It didn`t with come one...,negative
372,Cant wait to see my boy tomorrow,positive
373, no. ehhh just a check up. I have a dentist app next week though. getting my molar pulled/root canal.,neutral
374, aww I miss driving down elmwood,negative
375,Omg Wango was Tango **** AWSOME! I love my baby for taking me,positive
376,"Version 2 of our live, interactive Trans-Siberian ticket planner is launched: http://tinyurl.com/c5ljwm - its very cool",positive
377,_30439 I wish really I could go!,positive
378," yeah real hard, but I know you`ll get by with it... smile",neutral
379, 25 I`m in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,negative
380,  This has made my night!!  Way too funny!!,positive
381,Woo  CAVS. Happy Mother`s Day!,positive
382, I make that same face when I get home and your mom is watching soaps.,neutral
383,I have to go work to now.,neutral
384, I can`t believe you went and got boba without me.,neutral
385,"  And to you how too, are you today?",neutral
386, Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,positive
387,19 days counting and,neutral
388, sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,negative
389,Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit,neutral
390,"sunburn My is peeling,",negative
391,perky purple nail polish isn`t as perky when its chipped,neutral
392,"http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer that vandalize door, without being caught.",neutral
393,Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,negative
394,hate I the dentist,negative
395," nothing aimed at you, just joining in...sorry",negative
396,I`m taking a break. twitter Cell is dying,negative
397, qood morninq,neutral
398,writing my english original writing storyyyyy. and listening to `a little respect` by erasure aaaaaah. ,neutral
399,needs more followers,neutral
400,I wish I could get my nails done stupid  job,negative
401,The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  http://twitpic.com/67aim,neutral
402, 'no the pants' idea could be the new attempt world-wide to attract business back to the airlines.,neutral
403, Have a good one,positive
404," yep infact she is popular, miss india 99, talented film actress .... lot and more",positive
405,Dosen`t Want To Go To Work Tomorrow,negative
406,Daniel has won His DSDS. voice is great.,positive
407,[-O] i wish the birthday massacre would come to australia  i think they said they`re thinking about it tho.. http://tinyurl.com/p6lfch,neutral
408,was hoping to go to Lobster Red this weekend,neutral
409,_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,positive
410,I sure hope do it becomes 4:20 this afternoon ...,positive
411, it means that you are now FAMOUS. Congrats!,positive
412,My phone passed away yesterday.. He jumped off the table  Searching for a phone... new,negative
413,"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",positive
414,tamlyn wishes she as was cool as my sock draw,positive
415, so no rice or crusty bread with the chili .... aawww,neutral
416,"  We are of like minds this evening my , dear!",neutral
417,come and save me from my packing please?!,neutral
418,"Yes, I love tea. If that makes me typically English so then be it",positive
419, a mouth for sure,positive
420,_dec0de I finally just have 1 hour of history... at 3.00 pm! but I to went my highschool at 8.00 am to make some homework with a friend,neutral
421, pancakes!! with lemon and sugar thanks!,positive
422," Si, no bueno  I guess I just don`t him entertain :/",negative
423,I`m so hunrgy right now and these heels kill me I can hardly walk in them,negative
424,both electronic keys stopped working. there is no keyhole! cant get my in car. so much for technology,negative
425," Yay, three followers! Good to know more than one person in this big wide world likes fishies.",positive
426,'my name is Tony!!!!!! hey!!!!' ...not -  poor tony,negative
427,Goodmorning,positive
428,Took shift a tomorrow.    I don`t really feel like working right now.,negative
429," I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too .",positive
430,Saw a black in snake the garden.  Went back for a picture and it was gone,neutral
431,http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,positive
432,No anymore waterfront   faccia luna and clarendon will have to do,negative
433,loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,positive
434,up Slipped and caught the flu  feeling like poop!,negative
435,"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited  (L)",positive
