,text,sentiment
64,  He`s awesome... Have you worked with him before? He`s a good friend.,positive
65,Yay playing ahshow tonight! Boo it`s gonna soggy and I`m at work right before playing,neutral
66,Chilliin,positive
67,"f you know such agent, do let me know",neutral
68,I still smell of smoke  #kitchenfire,neutral
69, a celtics-lakers rematch sounds better don`t you thinkk? lol,positive
70,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",neutral
71,"'you can ridenone, you can catch one, but its not summer til you pop open one'  ?",neutral
72, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral
73,OK - I`m o t of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral
74,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",negative
75, M sources say no,neutral
76,I am sooo tired,negative
77," He , you change your twitter account, and you didn`t even tell me...",neutral
78, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive
79, lucky kid...i so wanna see loservillee  pity im in oz....,positive
80,fell asleep waiting for my ride!,neutral
81,Sick With a flu like thing.,negative
82,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",negative
83,Happy atar Wars day everyone! and Enjoy the holiday (UK),positive
84, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,neutral
85,"H s snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",neutral
86,i miss you bby      wish you were going tomorrow to make me do good.,negative
87, Welw what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,positive
88, SWEEEEET - San Fran is awesome!!!!  Love it there,positive
89,_Mounce yes and iiiit lasts way past my bedtime!,neutral
90, Hi  how are you doing ???  *just joined twitter...*,neutral
91,waiting for sleeping pills to kick in... gonnnnna be so tired at work tomorrow,negative
92,eating ice cream and then getting ready for graduation.,neutral
93,Happpy Mothers day to all you Mums out there,positive
94," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",negative
95, hemplcloth is marvelous but unfortunately no,negative
96,Gonna read a story bout adam lambert online then bed. Nighty night,neutral
97, We saw that in noooone 3D - the baddie`s the best,positive
98,4am. And Im on the beach. Pretty,positive
99," Certainly not Cheers than, huhh?",neutral
100,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",negative
101,i realy wanted to go out cause its so nice but everyyybodys busy,negative
102, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,positive
103,at leas get to watch over time  Let`s go Pens!!,neutral
104, cool i wear black most of the time when i go out,neutral
105, haha I do not know hw to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,positive
106, have a safe trip joshy poo.......you`ll knock them dead at your speech,positive
107, wo I wish I was allowed to go,positive
108,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,neutral
109,as tickets.......?,neutral
110,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",positive
111, ACSM. it`s unhomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral
112,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",positive
113,So many tests todayyy  I don`t feellll confident about anyy.,negative
114,graduation is done  im a little sad.. anyone want to hang out???,negative
115,ahahaa your awesomee !,positive
116,holy smokes! star trek was freaking awesomeeeee,positive
117,"I hate Fallut 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",neutral
118," I had it! On my itunes, but then I lost all my songs.",neutral
119,What s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral
120,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",negative
121," Pooroyou  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",negative
122,not well,negative
123, Not a prob huun,positive
124,"at dads, watching some mtv and am going on sims2 in a minutee",neutral
125, what`s the matter chickadee?,neutral
126, hey aia!  totally adore your music.  when will your cd be out?,positive
127,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",positive
128,  O you need to ask him something? Lmao I love him too,positive
129, those splinters look very painful...but you were being very heroic saving mr. Pickle,negative
130, yhy are you sad?,negative
131, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,positive
132,decided 2 tra s frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,positive
133, Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,neutral
134,"ngrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",neutral
135,Humous and Dorito`s.... Oh yes,neutral
136,"missedlall the awesome weather, because she was in a movie!",negative
137,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,neutral
138,"These kidss are terrible! If I was in Good Evans, I`d call Childline",negative
139,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",negative
140," ahat`s sad is that I actually had to google that term. That sucks, tho.",negative
141,Hate fighting,negative
142," I watched that too!!! I diddnt want her to win, but she put up a good fight..lol",neutral
143,Car-warmed Sprite tastes like sore throat,negative
144,Just camme 11th in cross country and beat dumbo,neutral
145,Candle wax is very enjoyable.,positive
146," She`s unassing and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",positive
147,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral
148,goooooddd mnrning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,positive
149, me too. I hate my computer so much..,negative
150, fine! Going to do my big waaaalk today 20 or so miles,positive
151,I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,negative
152,mmmmmmmm... ? it in the morning,neutral
153, me neither,neutral
154,"Has about 10 hrurs work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",neutral
155,Bugger. forgot I still have washing in my machine,negative
156,"_Laurie seiding love, blessings & healing thoughts to you & family  peace",positive
157,My back hurts...really bad,negative
158," ah yes, I know that feeliing",neutral
159,Night of the cookers with my dad,neutral
160,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutttal,negative
161, Nope I am in Coquitlam,neutral
162, Had parent teacher thing yesterday!! So borinnnng going to skl on saturday!!  lol,negative
163,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,positive
164,Big booming tnunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,neutral
165,Few Bevvies 2day in twn..great on a day off!!,positive
166,first nightnin myers. just not the same w/out lydia!  but i`m actually excited about this summer!,positive
167, good morning,positive
168, it the best show EVER!,positive
169,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,negative
170,i thin iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,neutral
171, I want to know when the auditions are Mander! Text or...reply please!,neutral
172,or en NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,negative
173, I miss my neice  can`t wait to see her bad n grown ****! Lol,negative
174,i ned to get my computer fixed,neutral
175,really hopes her car`s illness is not terminal...,negative
176,"All tthe cool people I want to find for following today are #English, and I guess the English don`t tweet.",neutral
177, no sir...i woulda put honey...but i don`t have any,neutral
178,oho watched X-men origins: wolverine? i totally loved it! haha,positive
179, I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,positive
180, I`m sad that I mmmissed you guys last night!,negative
181,Finally got a call for marriage counseling 3 days late....,neutral
182,_420 why baby?,neutral
183,todays the last day of high school for me and i ended up going home sick! ... stupid dead rats,negative
184,We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,neutral
185,lost my tooth 2dayyy whilst i was eating gum...oww,negative
186,happy 1 year! <3,positive
187,"Oh, IELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",positive
188, *phew*  Will make a note in case anyone else runs into the same issueï¿½,neutral
189,  WWHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative
190,I`m starving!! This diet is killing me but I can`t eat after 8pm,negative
191, t talk to you,neutral
192,im soo bored...im deffo missing my music channels,negative
193, niteinite bday girl  have fun at concert,positive
194,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral
195,_Sanderson Wtat`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,neutral
196,should be sleeping.  lost my voice a couple day ago.,negative
197,http:witpic.com/66xlm -  hate when my PARKED car gets hit,negative
198, I`ve heard this fall. I`m waiting too!,neutral
199, more nightmares?  *huggggles*,neutral
200,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,negative
201,going t bed its late and I have headache,negative
202,happy mother`s day to all moms out there...,positive
203,Grabbgng coffee from  then making mom breakfast,neutral
204,im thinking that im going to have fun tonight....and maybe some changes are coming,positive
205, thanks. before the majorrr chop.,neutral
206," Haha I know, I cant handle the fame!  and thank you!",positive
207,jut got up and updated my ipod,neutral
208, yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,positive
209, Wever miss ICarly - my son has a huge crush on Miranda,positive
210,Saw James carville in the store today. His head is really that bald,neutral
211,yelow for   ? http://blip.fm/~5z05g,neutral
212, which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral
213,Fleling smooth like chrome,positive
214,Ew traffic,negative
215,"downloading songhile trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral
216,@_Ra_Ra_ your not alone...i need coffee too.,neutral
217, uounds like me,neutral
218,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral
219,Walking to class. I hatttte not having a bike....especially mine.,negative
220,_nesmith,neutral
221,"failed inspection.id you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",negative
222,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",positive
223,happy mother`s day to aaall the mothers in the world.,positive
224,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",positive
225,eleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,positive
226,The exception for a short dude: Larenz fineass Tate yum,neutral
227,"Scr the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",positive
228,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",positive
229, YYes i work 6 to 3...,neutral
230," Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",neutral
231,Done at the spa   now meeting vic for some late luuunch!,neutral
232,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive
233, Alway have wanted to go to Oz,neutral
234, Thx,neutral
235, http://twitpiccc.com/4jaz5 - Cool... luv it,positive
236,  that`s why I need to be there...To represent the Blackberries,positive
237,Okay so I`m dedicating m 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,neutral
238, If only we could ever actually be allowed to stay here and do that,neutral
239, Lete know how that turns out!!,neutral
240, was that sass I detect?  As long as it isn`t back sass! Haha,neutral
241," ye h I was thinking about that ,ahaha",positive
242, Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,neutral
243,I`m n t sleeping at all until  accepts my appology,negative
244,"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",negative
245," I li for pain, bring it on",neutral
246,"okay, i`m out for a while  back later!",neutral
247,  #powerbloW What is this powerblog challenge you keep talking about?  I`m a newbie follower,neutral
248,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,positive
249,Waiting fo tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,neutral
250,"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",negative
251,going tshower because i don`t want to smell at school tomorrow,neutral
252, Sigh... you know I am...,neutral
253,"diovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",positive
254,Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,neutral
255,just got home from work.... and is cchugging down a big bottle of apple juice.,neutral
256, Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,negative
257,writingreport cards  soooo tired but what an amazing day. check it out on fb soon!,positive
258, it was only once for my big brother...and I`m done now,neutral
259,good nsws: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,neutral
260,"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive
261,STSK and Mercy Mercedes were amazing tonight.. as always,positive
262,  hope he is ok!,positive
263,cat school just be done already? it hurts too much... seeing him every day,positive
264,"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",neutral
265, HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,neutral
266, huh what the ****? Smelly? Noooo. I love alex Vixon,neutral
267,"We t to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",positive
268," Happy b-day! Just woke up on this side of Earth, so wishes are bit late",positive
269,"thank you for teacning me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",positive
270,HAPPY MOTHERS DAY.!,positive
271," *laugh I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",positive
272,  Thanks,positive
273,ttering after 2 days!,neutral
274,Getting ready for week  Its too nice today to be stuck inside working!,positive
275,I am tres deeepressed,negative
276,"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",negative
277,Happy Mothers Day people. i love my mom a lot stillll,positive
278, I`m sorry to hear that.,negative
279," That`s some dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",positive
280," it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",positive
281,Is gettiing the hang of Twitter.,neutral
282,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative
283,I wtnt it BACK NOW!: http://bit.ly/PP1WZ,neutral
284,Going to miss my roomie ... We will no longer be roomies starting tomorrow,negative
285,"bthing with two little angels, Keyla and Janice.",neutral
286," Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",negative
287, HAHHHHA lol true that! i always remember my BD but i can never remember what date or even day it is,neutral
288,"Family is here,hanging with them",neutral
289,Watihing Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,positive
290, what`s goin on hun?  I`m worried about you,negative
291, Im nott bannished... but I am at work till 6,negative
292," Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",neutral
293," redotop tabloids, build em up, knock em down",neutral
294,tonight in party w/ my girls (minus vita),positive
295,  why not now you made me sad I thought you`d be jumping fooor joy,neutral
296, Simple my a#@,neutral
297,"Theics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",neutral
298," I saw the play of it here, it was amazing",positive
299, _ i alad to break my twitter virginity with you two.,positive
300,Dinner with the fam... I have missed them,negative
301,"_Live That`s what I want. More the better. Bound to be a few bad eggs thouggh, but they will soon learn.",neutral
302,Hell yeah Kellynn got a Twitter. Finally.,neutral
303," I know   It was worth a shot, though!",positive
304,"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",positive
305,DUSTBIN BABY ON AT 11.30 Cannot wait  x,positive
306," Not going to dll on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",negative
307,It loo like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters,neutral
308,Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,neutral
309,Laying in bed til workkk... Oh the life. Definitely pinnched a nerve.,negative
310,today is a busy day. exhausting!,negative
311," Ias going to go on Sunday, but now I`ve got too much going on that weekend",neutral
312, Sorry to hear ur flight got cancelled  that blows!!!,negative
313,ohh my tooth is hurts ohh  im sssad it very hurts,negative
314,"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",positive
315, u th u have bills Ha!Ii just finished paying mine that`s y I`m broke,negative
316, Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,neutral
317,sre throat. Planning the TET outing to Marwell though...good times,neutral
318,mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,positive
319,2 day without sleep and now a migraine. I thought life postR01 was meant to be relaxing,negative
320, There!,neutral
321, whens the sway sway winner announced?,neutral
322, w will check it out...,neutral
323," doing pretty well, up and wide awake",positive
324,"iawant to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",neutral
325,I Miss Daddy and Mommy,negative
326,"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",negative
327,I just realized that I can`t forward text msgs with my iPhone.,neutral
328,"M frist post... Off to find a new car for my parents, exciting!",positive
329,Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,negative
330,seriouslyred without anyone to talk to... but not tired enough for sleep,negative
331, I am lost. Please help me find a good home.,negative
332,"It`s a Peter & Gordon mrning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",neutral
333,Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,negative
334, LMAO... Smh!  that onnnne threw me off.,neutral
335, oh nice going!,positive
336,Ig getting ready for work... Working all weekend,neutral
337,Gonna celebrate Mothers Day with the family but gonna start the partying tonite,positive
338, i agree wwwith you!,positive
339, I only do computers. Am hopeless at everything else,negative
340,"99990 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",positive
341,_2nd aww thanks!,positive
342, Soy RB is on PS3 for me,negative
343,I saw amazing heeels. But they were too big,neutral
344, just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,negative
345,dang last url went down  ? http://blip.fm/~7aigm,negative
346," ohoh i missed all ur tweetts  im gonna have to stay awake all night to see the announcement now, **** time difference",negative
347, Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,negative
348,my boss. She`s moving to NYC,neutral
349,this is sooo crazy i have fever..,negative
350,is spending her Satuuuurday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,negative
351,I think i need some new friends,neutral
352, Lookiing forward to your gig in Ireland!!!  See ya there!,neutral
353,Please Review Sunehre Ad Placement  http://tinyurl.com/oow6mk,positive
354,aww  you loooovee me,positive
355,"is hungry, twitter.  i want food. </3",neutral
356," yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   haha",neutral
357," haha im jewish, i love that one",positive
358,"had a great time out in the beer garden wit the boyos !! I think the sun got to me a bit though, feel a bit ill !!",neutral
359,m on 3 days too matt. No fun this weekend.,negative
360, u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u,neutral
361, I feel yourr pain. Mine is the same way,negative
362,comes home in two days,neutral
363, Sadly no. It diiiidn`t come with one...,negative
364,Cant wait to see my boy tomorrow,positive
365, ehhh no. just ahcheck up. I have a dentist app next week though. getting my molar pulled/root canal.,neutral
366, aww I miss driving down elmwood,negative
367,Omgango Tango was **** AWSOME! I love my baby for taking me,positive
368,"Version 2 of our live, interactive Trans-Siberian ticket planner is launched: http://tinyurl.com/c5ljwm - its very cool",positive
369,030439 I really wish I could go!,positive
370," yeah real hard, but I know you`ll get by with it... smile",neutral
371, I`m 25 in december that`s not gooood at all next big birthday is 30  after 21 it flys by for sure,negative
372,  This has made my night!!  Way too funny!!,positive
373,Woo CAVS.  Happpppy Mother`s Day!,positive
374, I make that same face when I get home and your mom is watching soaps.,neutral
375,I hae to go to work now.,neutral
376, I can`t believe you went and got boba without me.,neutral
377,"  nd to you too, how are you today?",neutral
378, Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,positive
379, 9 days and counting,neutral
380, sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,negative
381,Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit,neutral
382,"Mysunburn is peeling,",negative
383,perky purple nail polish isn`t as perky when its chipped,neutral
384,"http://twitcic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught.",neutral
385,Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,negative
386,h hate the dentist,negative
387," nothing aimed at you, just joining in...sorry",negative
388,I`m tiking a twitter break. Cell is dying,negative
389, qood morninq,neutral
390,writing mynenglish original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,neutral
391,needs more followers,neutral
392,I sish I could get my nails done  stupid job,negative
393,The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  http://twitpic.com/67aim,neutral
394, the 'no pan's' idea could be the new attempt world-wide to attract business back to the airlines.,neutral
395, Have a good one,positive
396," yep infact she is popular, miss india 99, talented film actress .... and lot mmmore",positive
397,Dosen`t Want To Go To Work Tomorrow,negative
398,Danlel has won DSDS. His voice is great.,positive
399,[-O] i wish the birthday massacre would come to australia  i think they said they`re thinking about it tho.. http://tinyurl.com/p6lfch,neutral
400,was hoping to go to Red Lobster this weekkend,neutral
401,_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,positive
402,I rure do hope it becomes 4:20 this afternoon ...,positive
403, it means that you are now FAMOUS. Congrats!,positive
404,Myhphone passed away yesterday.. He jumped off the table  Searching for a new phone...,negative
405,"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",positive
406,tamlyniwishes she was as cool as my sock draw,positive
407, so no rice or crusty bread with the chili .... aawww,neutral
408,"  Werare of like minds this evening , my dear!",neutral
409,come and save me from my packing please?!,neutral
410,"Yes, I love tea. If that makes me typically English then so bee it",positive
411, a mouth for sure,positive
412,_dec0de I inally just have 1 hour of history... at 3.00 pm! but I went to my highschool at 8.00 am to make some homework with a friend,neutral
413, pancakes!! with lemon and sugar thanks!,positive
414, Sin no bueno  I guess I just don`t entertain him :/,negative
415,I`m so hunrgy right now and these heels kill me I can hardly walk in them,negative
416,both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technoooology,negative
417," Yay, three followers! Good to know more than one person in this big wide world likes fishies.",positive
418,'y name is Tony!!!!!! ...not hey!!!!' -  poor tony,negative
419,Goodmorning,positive
420,Took a shtft tomorrow.    I don`t really feel like working right now.,negative
421," I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too .",positive
422,Saw a bck snake in the garden.  Went back for a picture and it was gone,neutral
423,http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,positive
424,Nowaterfront anymore   faccia luna and clarendon will have to do,negative
425,loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,positive
426,Slipded up and caught the flu  feeling like poop!,negative
