,Unnamed: 0,text,sentiment,classification,clean_text
38,38,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative,0.0,im soooooo sleeeeepy last day school todaysniffle
39,39,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i this love day",positive,1.0,little happy wine jeje ok itsm free time care jaja love day
41,41,im an avid fan of magazine **** and i love your magazines,positive,1.0,im avid fan magazine love magazine
44,44, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,positive,1.0,love im available pm dear would love help convert vidsï ½
46,46,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,negative,0.0,egh blah boooooooooooo dunno wanna go work hangover suckkkkkk im drunk mess
48,48,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",negative,0.0,donbt like peel prawn also dont like going shopping running money crawling round car looking
49,49,which  case? I got a new one last week and I`m not thrilled at all with mine.,negative,0.0,case got new one last week im thrilled mine
53,53,it  is ****...u have dissappointed me that past few days,negative,0.0,u dissappointed past day
54,54, romance zero is funny,positive,1.0,romance zero funny
56,56,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,negative,0.0,bah coworker ran work late bag smacked knee really hurt
58,58,Aw. Torn ace of hearts  #Hunchback,negative,0.0,aw torn ace heart hunchback
60,60,"i lost all my friends, i`m alone and sleepy..i wanna go home",negative,0.0,lost friend im alone sleepyi wanna go home
62,62,I give in to easily,negative,0.0,give easily
63,63,What better way to mum spoil than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,positive,1.0,better way mum spoil let kick back relax nice meal bottle favorite wine wine red
64,64,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,negative,0.0,mannnn got iphone im jealous httpbitlyngnar
66,66,  He`s awesome... Have you worked with him before? He`s a good friend.,positive,1.0,he awesome worked he good friend
68,68,Chilliin,positive,1.0,chilliin
71,71, a celtics-lakers rematch sounds don`t better you think? lol,positive,1.0,celticslakers rematch sound dont better think lol
76,76,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",negative,0.0,wow really missin family today baddd
78,78,I am sooo tired,negative,0.0,sooo tired
80,80, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive,1.0,thank yyyyyyyyyoooooooooouuuuu
81,81, lucky kid...i so wanna see loserville  im pity in oz....,positive,1.0,lucky kidi wanna see loserville im pity oz
83,83,With Sick. a flu like thing.,negative,0.0,sick flu like thing
84,84,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",negative,0.0,still reply simfinger problem irape parody video get response sorry guy
85,85,Happy Star Wars day everyone! and Enjoy the (UK) holiday,positive,1.0,happy star war day everyone enjoy uk holiday
88,88,i miss you bby      wish you were going tomorrow to make me do good.,negative,0.0,miss bby wish going tomorrow make good
89,89, Well what im working on isn`t QUITE ready to post about publicly beta (still testing) but its a cool new script I coded,positive,1.0,well im working isnt quite ready post publicly beta still testing cool new script coded
90,90, SWEEEEET - San Fran is awesome!!!!  Love it there,positive,1.0,sweeeeet san fran awesome love
93,93,waiting for sleeping pills to kick in... gonna be so at tired work tomorrow,negative,0.0,waiting sleeping pill kick gonna tired work tomorrow
95,95,Happy Mothers day to you all Mums out there,positive,1.0,happy mother day mum
96,96," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",negative,0.0,caseys gone piddled little carpet shes prolly freaked cause new get back
97,97, hemp cloth is marvelous but no unfortunately,negative,0.0,hemp cloth marvelous unfortunately
99,99, We saw that in 3D none - the baddie`s the best,positive,1.0,saw none baddie best
100,100,4am. And Im on the beach. Pretty,positive,1.0,im beach pretty
102,102,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",negative,0.0,week post myhorrible traumatic jumping cholla accidentchollas next dirty trickpieces starting emerge hand ouch
103,103,realy i wanted to go out cause its so nice but everybodys busy,negative,0.0,realy wanted go cause nice everybodys busy
104,104, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,positive,1.0,awesome im ocean beach know way yourbiggestfan im real big fan
107,107, haha I do know not how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,positive,1.0,haha know work blip apart obvious thanks reblipping song nice day
108,108, have a safe trip joshy poo.......you`ll knock them dead at your speech,positive,1.0,safe trip joshy pooyoull knock dead speech
109,109,"woof,  I wish I was allowed to go",positive,1.0,woof wish allowed go
112,112,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",positive,1.0,thank afrin nasal spray also got giant teacup tonight
114,114,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",positive,1.0,aww love daddy work day week almost day still try go sf u
115,115,So many tests todayyy  I feel don`t confident about anyy.,negative,0.0,many test todayyy feel dont confident anyy
116,116,graduation is done  im a little sad.. anyone want to hang out???,negative,0.0,graduation done im little sad anyone want hang
117,117, hahaa your ! awesomee,positive,1.0,hahaa awesomee
118,118,holy smokes! star trek was freaking awesomeeeee,positive,1.0,holy smoke star trek freaking awesomeeeee
122,122,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",negative,0.0,looking forward next week math geography english french exam totalling hour
123,123," Poor you Get  outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",negative,0.0,poor get outside sleep garden sun good dont forget suncream
124,124,not well,negative,0.0,well
125,125, a Not prob hun,positive,1.0,prob hun
129,129, hey mia!  totally adore music. your  when will your cd be out?,positive,1.0,hey mia totally adore music cd
130,130,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",positive,1.0,shopping cleaning bmfing webcam chatting nephew nothing spesh good bank holiday monday nonetheless
131,131, =O you need to ask him Lmao something? I love him too,positive,1.0,need ask lmao something love
132,132, those splinters look very painful...but you were being very heroic saving mr. Pickle,negative,0.0,splinter look painfulbut heroic saving mr pickle
133,133, why you are sad?,negative,0.0,sad
134,134, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,positive,1.0,nice see tweeting sunday th may celebrating mother day today nice yer mom
135,135,decided 2 trans relaxed frm 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,positive,1.0,decided trans relaxed frm natural hair wish whole head looked like root age instant gratification
139,139,"missed the all awesome weather, because she was in a movie!",negative,0.0,missed awesome weather movie
141,141,"These kids terrible! are If I was in Good Evans, I`d call Childline",negative,0.0,kid terrible good evans id call childline
142,142,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",negative,0.0,unfortunatley aerlingus longer fly copenhagen fly ryanair billund drive copenhagen one day
143,143," What`s sad is I that actually had to google that term. That sucks, tho.",negative,0.0,whats sad actually google term suck tho
144,144,Hate fighting,negative,0.0,hate fighting
146,146,Car-warmed Sprite tastes like sore throat,negative,0.0,carwarmed sprite taste like sore throat
148,148,Candle wax is very enjoyable.,positive,1.0,candle wax enjoyable
149,149," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate her to",positive,1.0,shes unassuming unpretentious shes suppose thats shes endearingbecause relate
151,151,goooooddd morning  tweets!! week three OF my workout. did i mention i got my new glasses yesterday?!?,positive,1.0,goooooddd morning tweet week three workout mention got new glass yesterday
152,152, me too. I hate my computer so much..,negative,0.0,hate computer much
153,153, fine! Going to do my big walk today or 20 so miles,positive,1.0,fine going big walk today mile
154,154,I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,negative,0.0,want red cruiser dont like one lmfao
158,158,Bugger. forgot I still have washing in my machine,negative,0.0,bugger forgot still washing machine
159,159,"sending _Laurie love, blessings & healing thoughts to you & family  peace",positive,1.0,sending laurie love blessing healing thought family peace
160,160,My back hurts...really bad,negative,0.0,back hurtsreally bad
163,163,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May has schedule been brutal,negative,0.0,modem offline week god bless g network tim left may schedule brutal
165,165, Had parent thing teacher yesterday!! So boring going to skl on saturday!!  lol,negative,0.0,parent thing teacher yesterday boring going skl saturday lol
166,166,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,positive,1.0,lichfield tweetup sound like fun hope see everyone else
168,168,Few Bevvies 2day in twn..great on a day off!!,positive,1.0,bevvies day twngreat day
169,169,first night myers. in just not the same w/out lydia!  but i`m actually excited about this summer!,positive,1.0,first night myers wout lydia im actually excited summer
170,170, good morning,positive,1.0,good morning
171,171, its the show best EVER!,positive,1.0,show best ever
172,172,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,negative,0.0,url previous post timer job httpbitlyafdb id removed space messed url e
175,175,or even NOOOOO NOT THE NAMEREBECCA SECRET PLEASE,negative,0.0,even nooooo namerebecca secret please
176,176, I miss my neice  can`t wait to see her bad n grown ****! Lol,negative,0.0,miss neice cant wait see bad n grown lol
178,178,really hopes her car`s illness is not terminal...,negative,0.0,really hope car illness terminal
181,181,who X-men watched origins: wolverine? i totally loved it! haha,positive,1.0,xmen watched origin wolverine totally loved haha
182,182, I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,positive,1.0,voted u personal myspace keep talking fake u helped thru hrdest time life x
183,183, I`m sad that I missed guys you last night!,negative,0.0,im sad missed guy last night
187,187,today was the last day of high school for me and i up ended going home sick! ... stupid dead rats,negative,0.0,today last day high school ended going home sick stupid dead rat
189,189,lost my tooth 2day whilst i eating was gum...oww,negative,0.0,lost tooth day whilst eating gumoww
190,190,happy 1 year! <3,positive,1.0,happy year
191,191,"Oh, I HELLA forgot to say my official morning good  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",positive,1.0,oh hella forgot say official morning good like hear go goooooooooooood morrrrrrrrning twitterville lol
193,193,  WHAT ABOUT ME ?? I  VOTE EVERY DAY FOR YOU !!!!!,negative,0.0,vote every day
194,194,I`m starving!! This diet is killing me but I can`t eat after 8pm,negative,0.0,im starving diet killing cant eat pm
196,196,im soo bored...im deffo missing my music channels,negative,0.0,im soo boredim deffo missing music channel
197,197, nite nite bday girl  have fun at concert,positive,1.0,nite nite bday girl fun concert
200,200,should be sleeping.  lost my voice a couple day ago.,negative,0.0,sleeping lost voice couple day ago
201,201,http://twitpic.com/66xlm  - hate when my PARKED car gets hit,negative,0.0,httptwitpiccomxlm hate parked car get hit
204,204,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,negative,0.0,creeper feel disappointed cyberstalking skill internet privacy
205,205,going bed to its late and I have headache,negative,0.0,going bed late headache
206,206,happy mother`s day to all moms out there...,positive,1.0,happy mother day mom
208,208,im thinking that im going to have fun tonight....and maybe some changes are coming,positive,1.0,im thinking im going fun tonightand maybe change coming
210,210," Haha I know, I cant handle the fame!  and thank you!",positive,1.0,haha know cant handle fame thank
212,212, yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,positive,1.0,yes sober hahaha tanghaling tapat dude haha wild dont knowwww plan plan go u
213,213, We never ICarly miss - my son has a huge crush on Miranda,positive,1.0,never icarly miss son huge crush miranda
217,217,Feeling like smooth chrome,positive,1.0,feeling like smooth chrome
218,218,Ew traffic,negative,0.0,ew traffic
223,223,Walking to class. I not hate having a bike....especially mine.,negative,0.0,walking class hate bikeespecially mine
225,225,"failed inspection. Did you know you can pass wo/oven, not but wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",negative,0.0,failed inspection know pas wooven woantitip bracket sold woven worse tax
226,226,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",positive,1.0,jonas brother live party rocking hard love song
227,227,happy mother`s day to all the mothers in world. the,positive,1.0,happy mother day mother world
228,228,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",positive,1.0,min hr min google wave demo look lot fun would love test though httpbitlywnmsc
229,229,Tabz Sleepy is heading to bed.  Fun night! Listened through the next episode of Joss`d!,positive,1.0,tabz sleepy heading bed fun night listened next episode jossd
231,231,"the Screw reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",positive,1.0,screw review thought wolverine awesome enough dominic monaghan liking
232,232,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",positive,1.0,followed u recently please dont offended havent followed back hit limit hopefully free soon
236,236,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive,1.0,happy monday going tavares today hope everyone blessed day
239,239, - http://twitpic.com/4jaz5 Cool... luv it,positive,1.0,httptwitpiccomjaz cool luv
240,240,  that`s why I need to be there...To represent the Blackberries,positive,1.0,thats need thereto represent blackberry
245,245," yeah I was thinking that about ,ahaha",positive,1.0,yeah thinking ahaha
247,247,I`m not sleeping at all until  accepts appology my,negative,0.0,im sleeping accepts appology
248,248,"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",negative,0.0,wolverine bos seriously william
252,252,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,positive,1.0,almost died laptop screen set brightness reinstalled window vista got headache insanedefaults
254,254,"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",negative,0.0,trying decide movie friend going well lol p bible study nite mean day cake buy
257,257,"discovered cause of a bug in the new #NetPLAYER 4 Publishing build. bug fix now, hopefully new beta by tomorrow",positive,1.0,discovered cause bug new netplayer publishing build bug fix hopefully new beta tomorrow
260,260, Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,negative,0.0,yes please dont go die cry normally lead small animal getting harmed
261,261,writing report cards  soooo tired but what an amazing day. check it out fb on soon!,positive,1.0,writing report card soooo tired amazing day check fb soon
264,264,"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive,1.0,well good morning wonderful day neighborhood thanks following another morning
265,265,and FTSK Mercy Mercedes were amazing tonight.. as always,positive,1.0,ftsk mercy mercedes amazing tonight always
266,266,  hope he is ok!,positive,1.0,hope ok
267,267,can`t school just be done already? it hurts too much... him seeing every day,positive,1.0,cant school done already hurt much seeing every day
273,273,"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT THINK MINDS ALIKE ) Anyway, happy birthday, ate lara",positive,1.0,went party last night dindin showed matching outfit great think mind alike anyway happy birthday ate lara
274,274," Happy b-day! Just woke up on this side of Earth, so wishes are bit late",positive,1.0,happy bday woke side earth wish bit late
275,275,"thank you for teaching values me and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",positive,1.0,thank teaching value better person day love much youre best mum world
276,276,HAPPY MOTHERS DAY.!,positive,1.0,happy mother day
277,277," *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  applaud I`ll extra loud for it, okay?",positive,1.0,laugh im glad self confidence wonderful trait applaud ill extra loud okay
278,278,  Thanks,positive,1.0,thanks
280,280,Getting ready for week  Its too nice today to be stuck inside working!,positive,1.0,getting ready week nice today stuck inside working
281,281,I am depressed tres,negative,0.0,depressed tres
282,282,"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",negative,0.0,felt like behaved like son ate compensate pigged homeroasted sugar almond painful tum threw still feel sick
283,283,Happy Mothers Day people. i love my mom a still lot,positive,1.0,happy mother day people love mom still lot
284,284, I`m sorry to hear that.,negative,0.0,im sorry hear
285,285," That`s awesome dude, yay for surprise celebrities!  I got to meet him a few ago, years he was soooo friendly.",positive,1.0,thats awesome dude yay surprise celebrity got meet ago year soooo friendly
286,286," it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",positive,1.0,make happy hear girl talk tweet nba could give nugget love
288,288,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative,0.0,know neck jacked forced pay parking bc cant turn head parallel park free space
290,290,Going to miss my roomie ... We will no longer be roomies starting tomorrow,negative,0.0,going miss roomie longer roomy starting tomorrow
292,292," Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",negative,0.0,yep finished chocked full spelling grammatical error im cleaning tomorrow popping hehe
295,295,Watching Love Ellen her!! then doing the dishes  and tanning ...it`s gorgeous out!,positive,1.0,watching love ellen dish tanning gorgeous
296,296, what`s goin on hun?  I`m worried about you,negative,0.0,whats goin hun im worried
297,297, Im bannished... not but I am at work till 6,negative,0.0,im bannished work till
300,300,tonight in party w/ my girls (minus vita),positive,1.0,tonight party w girl minus vita
304,304," I saw the play of it here, it was amazing",positive,1.0,saw play amazing
305,305, _ i am glad break to my twitter virginity with you two.,positive,1.0,glad break twitter virginity two
306,306,Dinner with the fam... I have missed them,negative,0.0,dinner fam missed
309,309," I know   was It worth a shot, though!",positive,1.0,know worth shot though
310,310,"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",positive,1.0,opened facebook account im little confused dont really get twitter seems much better
311,311,Ship. stuck. I`m,negative,0.0,ship stuck im
312,312,DUSTBIN BABY ON AT 11.30 Cannot wait  x,positive,1.0,dustbin baby cannot wait x
313,313," Not going to dwell on it. It happened, it`s passed. Just a shame as he was supportive! so Such is life!  x",negative,0.0,going dwell happened passed shame supportive life x
316,316,Laying in til bed workkk... Oh the life. Definitely pinched a nerve.,negative,0.0,laying til bed workkk oh life definitely pinched nerve
317,317,today is a busy day. exhausting!,negative,0.0,today busy day exhausting
319,319, Sorry to hear ur flight got cancelled  that blows!!!,negative,0.0,sorry hear ur flight got cancelled blow
320,320,ohh my tooth is hurts  ohh im sad it very hurts,negative,0.0,ohh tooth hurt ohh im sad hurt
321,321,"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",positive,1.0,get distracted id like thank new follower taking trouble follow others feelin love
322,322, u think u have bills Ha!Ii just paying finished mine that`s y I`m broke,negative,0.0,u think u bill haii paying finished mine thats im broke
325,325,mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,positive,1.0,mcfly gig last nightt omg amazin didnt sit whole thing mcfly see best mate tutu
326,326,2 without days sleep and now a migraine. I thought life postR01 was meant to be relaxing,negative,0.0,without day sleep migraine thought life postr meant relaxing
330,330," doing pretty well, up and wide awake",positive,1.0,pretty well wide awake
332,332,I Miss Daddy and Mommy,negative,0.0,miss daddy mommy
333,333,"My dog is depressed officially that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",negative,0.0,dog depressed officially brother dog gone doesnt want go outside play halfheartedly
335,335,"My frist post... Off to a find new car for my parents, exciting!",positive,1.0,frist post find new car parent exciting
336,336,Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,negative,0.0,argh noo missed killer wossy suck missed brandon total failure anyone know repeated must investigate
337,337,seriously bored anyone without to talk to... but not tired enough for sleep,negative,0.0,seriously bored anyone without talk tired enough sleep
338,338, I am lost. Please help me find a good home.,negative,0.0,lost please help find good home
340,340,Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,negative,0.0,ok ive got bit bad back lifting drum hardware car downer
342,342, oh nice going!,positive,1.0,oh nice going
344,344,Gonna celebrate Mothers Day with the family but gonna start the partying tonite,positive,1.0,gonna celebrate mother day family gonna start partying tonite
345,345, i with agree you!,positive,1.0,agree
346,346, I only do computers. Am hopeless at everything else,negative,0.0,computer hopeless everything else
347,347,"degrees, 90 gross skies, and thunderstorms...perfect match for my mood  lol",positive,1.0,degree gross sky thunderstormsperfect match mood lol
348,348,_2nd aww thanks!,positive,1.0,nd aww thanks
349,349, Sorry is RB on PS3 for me,negative,0.0,sorry rb p
351,351,I just stuck my finger down my and throat there are a bunch of bumps on my tongue & throat.,negative,0.0,stuck finger throat bunch bump tongue throat
352,352,dang last url went down  ? http://blip.fm/~7aigm,negative,0.0,dang last url went httpblipfmaigm
353,353," ohoh i missed all ur  tweets im gonna have to stay awake all night to see the announcement now, **** time difference",negative,0.0,ohoh missed ur tweet im gonna stay awake night see announcement time difference
354,354, Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,negative,0.0,damnit suck one one thought id drag back lol
356,356,this is sooo crazy i have fever..,negative,0.0,sooo crazy fever
357,357,is spending her Saturday morning taking notes for a research essay because some stupid **** the recalled book I`m using. Not fair,negative,0.0,spending saturday morning taking note research essay stupid recalled book im using fair
360,360,Please Review Sunehre Ad Placement  http://tinyurl.com/oow6mk,positive,1.0,please review sunehre ad placement httptinyurlcomoowmk
361,361, aww you loooove me,positive,1.0,aww loooove
363,363,lucky awesome you,positive,1.0,lucky awesome
365,365,"haha  im jewish, i love that one",positive,1.0,haha im jewish love one
367,367, l`m on 3 days too matt. No this fun weekend.,negative,0.0,lm day matt fun weekend
369,369, I feel pain. your Mine is the same way,negative,0.0,feel pain mine way
371,371, Sadly no. It didn`t with come one...,negative,0.0,sadly didnt come one
372,372,Cant wait to see my boy tomorrow,positive,1.0,cant wait see boy tomorrow
374,374, aww I miss driving down elmwood,negative,0.0,aww miss driving elmwood
375,375,Omg Wango was Tango **** AWSOME! I love my baby for taking me,positive,1.0,omg wango tango awsome love baby taking
376,376,"Version 2 of our live, interactive Trans-Siberian ticket planner is launched: http://tinyurl.com/c5ljwm - its very cool",positive,1.0,version live interactive transsiberian ticket planner launched httptinyurlcomcljwm cool
377,377,_30439 I wish really I could go!,positive,1.0,wish really could go
379,379, 25 I`m in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,negative,0.0,im december thats good next big birthday fly sure
380,380,  This has made my night!!  Way too funny!!,positive,1.0,made night way funny
381,381,Woo  CAVS. Happy Mother`s Day!,positive,1.0,woo cavs happy mother day
386,386, Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,positive,1.0,thanks warm welcome didnt make plan arrival time air
388,388, sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,negative,0.0,sorry friend im swamped deadline right family visiting boot charade
390,390,"sunburn My is peeling,",negative,0.0,sunburn peeling
393,393,Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,negative,0.0,laying alone since mooks soo comfy fn play pen thought ill first dont one cuddle
394,394,hate I the dentist,negative,0.0,hate dentist
395,395," nothing aimed at you, just joining in...sorry",negative,0.0,nothing aimed joining insorry
396,396,I`m taking a break. twitter Cell is dying,negative,0.0,im taking break twitter cell dying
400,400,I wish I could get my nails done stupid  job,negative,0.0,wish could get nail done stupid job
403,403, Have a good one,positive,1.0,good one
404,404," yep infact she is popular, miss india 99, talented film actress .... lot and more",positive,1.0,yep infact popular miss india talented film actress lot
405,405,Dosen`t Want To Go To Work Tomorrow,negative,0.0,dosent want go work tomorrow
406,406,Daniel has won His DSDS. voice is great.,positive,1.0,daniel dsds voice great
409,409,_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,positive,1.0,xatl u mean jack barakats wow u ever gone house hehe mean ur ssoo lucky address
410,410,I sure hope do it becomes 4:20 this afternoon ...,positive,1.0,sure hope becomes afternoon
411,411, it means that you are now FAMOUS. Congrats!,positive,1.0,mean famous congrats
412,412,My phone passed away yesterday.. He jumped off the table  Searching for a phone... new,negative,0.0,phone passed away yesterday jumped table searching phone new
413,413,"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",positive,1.0,fantastic friend including several one met thanks life amazing people
414,414,tamlyn wishes she as was cool as my sock draw,positive,1.0,tamlyn wish cool sock draw
418,418,"Yes, I love tea. If that makes me typically English so then be it",positive,1.0,yes love tea make typically english
419,419, a mouth for sure,positive,1.0,mouth sure
421,421, pancakes!! with lemon and sugar thanks!,positive,1.0,pancake lemon sugar thanks
422,422," Si, no bueno  I guess I just don`t him entertain :/",negative,0.0,si bueno guess dont entertain
423,423,I`m so hunrgy right now and these heels kill me I can hardly walk in them,negative,0.0,im hunrgy right heel kill hardly walk
424,424,both electronic keys stopped working. there is no keyhole! cant get my in car. so much for technology,negative,0.0,electronic key stopped working keyhole cant get car much technology
425,425," Yay, three followers! Good to know more than one person in this big wide world likes fishies.",positive,1.0,yay three follower good know one person big wide world like fishies
426,426,'my name is Tony!!!!!! hey!!!!' ...not -  poor tony,negative,0.0,name tony hey poor tony
427,427,Goodmorning,positive,1.0,goodmorning
428,428,Took shift a tomorrow.    I don`t really feel like working right now.,negative,0.0,took shift tomorrow dont really feel like working right
429,429," I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too .",positive,1.0,love mine happy motherï ½s day mom john taylor much love
431,431,http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,positive,1.0,httptwitpiccomwukt bought ludi rug dog best
432,432,No anymore waterfront   faccia luna and clarendon will have to do,negative,0.0,anymore waterfront faccia luna clarendon
433,433,loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,positive,1.0,love mum much happy mother day wonderful mother
434,434,up Slipped and caught the flu  feeling like poop!,negative,0.0,slipped caught flu feeling like poop
